Industry,Sector,job_state,Type of ownership,Size,Revenue,python_yn,spark,aws,excel,new_col,Revenue_num,Size_num,avg_salary
Advertising & Marketing,Business Services, CA,Company - Private,51 to 200 employees,Unknown / Non-Applicable,1,1,0,0,6,12,6,114.0
Advertising & Marketing,Business Services, IL,Company - Private,51 to 200 employees,other,0,0,0,0,6,12,6,87.5
Advertising & Marketing,Business Services, MA,Company - Public,201 to 500 employees,$100 to $500 million (USD),1,0,0,0,6,12,6,56.5
Advertising & Marketing,Business Services, NJ,Company - Private,1001 to 5000 employees,Unknown / Non-Applicable,1,0,1,1,6,12,6,114.0
Advertising & Marketing,Business Services, NY,Company - Private,51 to 200 employees,Unknown / Non-Applicable,1,0,0,1,6,12,6,114.5
Advertising & Marketing,Business Services, NY,Company - Public,201 to 500 employees,Unknown / Non-Applicable,1,1,1,1,6,12,6,104.5
Advertising & Marketing,Business Services, PA,Company - Private,201 to 500 employees,other,0,0,0,1,6,12,6,56.5
Advertising & Marketing,Business Services, TX,Company - Private,1 to 50 employees,Unknown / Non-Applicable,1,0,0,1,6,12,6,83.5
Advertising & Marketing,Business Services, TX,other,501 to 1000 employees,$50 to $100 million (USD),0,0,0,0,6,12,6,110.0
Advertising & Marketing,Business Services,other,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),0,1,1,0,6,12,6,134.0
Advertising & Marketing,Business Services,other,Company - Private,201 to 500 employees,$100 to $500 million (USD),1,0,0,1,6,12,6,100.0
Advertising & Marketing,Business Services,other,Company - Private,201 to 500 employees,Unknown / Non-Applicable,0,0,0,1,6,12,6,87.5
Advertising & Marketing,Business Services,other,Company - Private,201 to 500 employees,Unknown / Non-Applicable,1,1,1,1,6,12,6,65.5
Advertising & Marketing,Business Services,other,Company - Public,1001 to 5000 employees,$1 to $2 billion (USD),1,1,0,0,6,12,6,96.5
Advertising & Marketing,Business Services,other,Company - Public,51 to 200 employees,other,1,1,1,1,6,12,6,71.5
Advertising & Marketing,Business Services,other,other,501 to 1000 employees,Unknown / Non-Applicable,1,0,0,1,6,12,6,91.0
Aerospace & Defense,other, CA,Company - Public,10000+ employees,$10+ billion (USD),0,0,0,1,6,12,6,109.5
Aerospace & Defense,other, MA,Company - Private,201 to 500 employees,$100 to $500 million (USD),1,1,0,1,6,12,6,110.0
Aerospace & Defense,other, MD,Company - Public,10000+ employees,$10+ billion (USD),1,0,0,0,6,12,6,99.0
Aerospace & Defense,other, MD,Nonprofit Organization,5001 to 10000 employees,$1 to $2 billion (USD),1,0,0,1,6,12,6,130.0
Aerospace & Defense,other, VA,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),1,0,0,1,6,12,6,110.0
Aerospace & Defense,other, VA,Company - Private,1001 to 5000 employees,$1 to $2 billion (USD),1,1,0,0,6,12,6,118.5
Aerospace & Defense,other, VA,Company - Private,201 to 500 employees,$100 to $500 million (USD),1,1,0,1,6,12,6,107.0
Aerospace & Defense,other, VA,Company - Private,51 to 200 employees,other,1,0,0,0,6,12,6,101.0
Aerospace & Defense,other, VA,Company - Public,10000+ employees,$10+ billion (USD),1,0,1,0,6,12,6,101.5
Aerospace & Defense,other, VA,Company - Public,10000+ employees,$10+ billion (USD),1,1,0,1,6,12,6,89.0
Aerospace & Defense,other, VA,Company - Public,5001 to 10000 employees,other,1,1,0,0,6,12,6,105.5
Aerospace & Defense,other, VA,Company - Public,501 to 1000 employees,$100 to $500 million (USD),1,0,0,0,6,12,6,87.0
Aerospace & Defense,other,other,Company - Private,1 to 50 employees,Unknown / Non-Applicable,1,1,1,1,6,12,6,100.5
Aerospace & Defense,other,other,Company - Private,1001 to 5000 employees,$100 to $500 million (USD),1,0,0,1,6,12,6,68.0
Aerospace & Defense,other,other,Company - Private,501 to 1000 employees,$100 to $500 million (USD),0,0,0,0,6,12,6,86.5
Aerospace & Defense,other,other,Company - Private,501 to 1000 employees,$50 to $100 million (USD),1,0,0,1,6,12,6,72.0
